name,reference,matk,rbcL,psbA-trnH,ITS,filepath
Allium_Ursinum,false,false,false,false,true,data/expedition_jardin_botanique/Allium_Ursinum_ITS_barcode82/Allium_Ursinum_ITS_barcode82.fastq
Allium_Ursinum,true,false,false,false,true,data/expedition_jardin_botanique/Allium_Ursinum_ITS_barcode82/Allium_Ursinum_reference_seq.fasta
Allium_Ursinum,false,false,false,true,false,data/expedition_jardin_botanique/Allium_Ursinum_trnH-psbA_barcode84/Allium_Ursinum_trnH-psbA_barcode84.fastq
Ficus_religiosa,false,false,false,false,true,data/expedition_jardin_botanique/Ficus_religiosa_ITS_barcode95/Ficus_religiosa_ITS_barcode95.fastq
Ficus_religiosa,true,false,false,false,true,data/expedition_jardin_botanique/Ficus_religiosa_ITS_barcode95/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,false,false,true,false,false,data/expedition_jardin_botanique/Ficus_religiosa_rbcL_barcode94/Ficus_religiosa_rbcL_barcode94.fastq
Ficus_religiosa,true,false,true,false,false,data/expedition_jardin_botanique/Ficus_religiosa_rbcL_barcode94/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,true,false,false,true,false,data/expedition_jardin_botanique/Ficus_religiosa_trnH-psbA_barcode96/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,false,false,false,true,false,data/expedition_jardin_botanique/Ficus_religiosa_trnH-psbA_barcode96/Ficus_religiosa_trnH-psbA_barcode96.fastq
Hedera_colchica,false,false,false,false,true,data/expedition_jardin_botanique/Hedera_colchica_ITS_barcode78/Hedera_colchica_ITS_barcode78.fastq
Hedera_colchica,true,false,false,false,true,data/expedition_jardin_botanique/Hedera_colchica_ITS_barcode78/Hedera_colchica_reference_seq.fasta
Hedera_colchica,true,false,false,true,false,data/expedition_jardin_botanique/Hedera_colchica_trnH-psbA_barcode80/Hedera_colchica_reference_seq.fasta
Hedera_colchica,false,false,false,true,false,data/expedition_jardin_botanique/Hedera_colchica_trnH-psbA_barcode80/Hedera_colchica_trnH-psbA_barcode80.fastq
Heliconia_bihai,true,false,false,true,false,data/expedition_jardin_botanique/Heliconia_bihai_trnH-psbA_barcode91/Heliconia_bihai_reference_seq.fasta
Heliconia_bihai,false,false,false,true,false,data/expedition_jardin_botanique/Heliconia_bihai_trnH-psbA_barcode91/Heliconia_bihai_trnH-psbA_barcode91.fastq
Photinia_davidiana,false,false,false,false,true,data/expedition_jardin_botanique/Photinia_davidiana_ITS_barcode86/Photinia_davidiana_ITS_barcode86.fastq
Photinia_davidiana,true,false,false,false,true,data/expedition_jardin_botanique/Photinia_davidiana_ITS_barcode86/Photinia_davidiana_reference_seq.fasta
Photinia_davidiana,false,false,true,false,false,data/expedition_jardin_botanique/Photinia_davidiana_rbcL_barcode85/Photinia_davidiana_rbcL_barcode85.fastq
Photinia_davidiana,true,false,true,false,false,data/expedition_jardin_botanique/Photinia_davidiana_rbcL_barcode85/Photinia_davidiana_reference_seq.fasta
Begonia_Masoniana,false,true,true,true,true,data/flongle_fulvia_expedition/Begonia_Masoniana_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode8/Begonia_Masoniana_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode8.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/flongle_fulvia_expedition/Cymbopogon_Citrus_MN_matk_rbcL_psbA-trnH_ITS_barcode9/Cymbopogon_Citrus_MN_matk_rbcL_psbA-trnH_ITS_barcode9.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/flongle_fulvia_expedition/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode10/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode10.fastq
Echeveria_Agavoides,false,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_MN_rbcL_psbA-trnH_ITS_barcode1/Echeveria_Agavoides_MN_rbcL_psbA-trnH_ITS_barcode1.fastq
Echeveria_Agavoides,false,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2.fastq
Echeveria_Agavoides,true,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2/Echeveria_Agavoides_Qiagen_reference_seq.fasta
Ficus_Benjamina,false,false,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5.fastq
Ficus_Benjamina,true,false,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5/Ficus_Benjamina_MN_reference_seq.fasta
Ficus_Benjamina,false,true,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode6/Ficus_Benjamina_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode6.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/fulvia_estelle_max_expedition/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode3/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode3.fastq
Echeveria_Miranda,false,false,false,false,true,data/fulvia_estelle_max_expedition/Echeveria_Miranda_MN_ITS_barcode1/Echeveria_Miranda_MN_ITS_barcode1.fastq
Echeveria_Miranda,false,false,false,false,true,data/fulvia_estelle_max_expedition/Echeveria_Miranda_Qiagen_ITS_barcode2/Echeveria_Miranda_Qiagen_ITS_barcode2.fastq
Ficus_Benjamina,false,true,true,true,true,data/fulvia_estelle_max_expedition/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4.fastq
Ficus_Benjamina,true,true,true,true,true,data/fulvia_estelle_max_expedition/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4/Ficus_Benjamina_MN_reference_seq.fasta
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode8/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode8.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode9/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode9.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode5/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode5.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode6/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode6.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode7/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode7.fastq
Solanum_Lycopersicum,false,false,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_Qiagen_RPA_rbcL_barcode10/Solanum_Lycopersicum_Qiagen_RPA_rbcL_barcode10.fastq
Berberis_Julianae_Campus,false,true,true,true,true,data/prunelle_without_purification_expedition/Berberis_Julianae_Campus_matk_rbcL_psbA-trnH_ITS_barcode6/Berberis_Julianae_Campus_matk_rbcL_psbA-trnH_ITS_barcode6.fastq
